movieTitle,URL,rt_score,script_length,avg_sentence_length,readability_score,main_character_count,dialogue_ratio,long_sentence_flag,script_text
Absolute-Power,https://imsdb.com/scripts/Absolute-Power.html,57.0,32228,12.230740037950664,5.158530350809112,3.295836866004329,0.5123339658444023,False,
Ad-Astra,https://imsdb.com/scripts/Ad-Astra.html,83.0,30153,11.469379992392543,5.736214311068398,3.951243718581428,0.5348041080258653,False,
Affliction,https://imsdb.com/scripts/Affliction.html,88.0,20957,9.343290236290684,2.967031233862997,3.295836866004329,0.9215336602764156,False,
After.Life,https://imsdb.com/scripts/After.Life.html,24.0,26939,6.661473788328387,3.742729251017313,4.394449154672439,0.5880316518298714,False,
Agnes-of-God,https://imsdb.com/scripts/Agnes-of-God.html,44.0,17507,8.996402877697841,4.299680164597795,3.1780538303479458,0.776464542651593,False,
Air,https://imsdb.com/scripts/Air.html,93.0,23255,8.240609496810773,3.5795484198601493,3.4657359027997265,0.5910701630049611,False,
Air-Force-One,https://imsdb.com/scripts/Air-Force-One.html,79.0,32467,9.07913870246085,4.772769648610211,4.189654742026425,0.889261744966443,False,
Airplane,https://imsdb.com/scripts/Airplane.html,97.0,24445,9.387480798771122,4.939685466499828,3.951243718581428,0.9531490015360984,False,
Ali,https://imsdb.com/scripts/Ali.html,69.0,42012,11.20021327645961,4.66942382430598,4.727387818712341,0.9557451346307652,False,
Alien,https://imsdb.com/scripts/Alien.html,93.0,27350,11.603733559609672,5.312554601668705,2.5649493574615367,0.6580398812049215,False,
Aliens,https://imsdb.com/scripts/Aliens.html,94.0,34776,10.129915525779202,5.158587529341716,3.784189633918261,0.4182930381590445,False,
All-About-Steve,https://imsdb.com/scripts/All-About-Steve.html,7.0,28509,10.336838288614938,4.818299692819462,4.382026634673881,0.9499637418419145,False,
All-of-Us-Strangers,https://imsdb.com/scripts/All-of-Us-Strangers.html,96.0,21764,10.189138576779026,3.7816402561005553,2.3978952727983707,0.50187265917603,False,
All-the-President's-Men,https://imsdb.com/scripts/All-the-President's-Men.html,94.0,29873,15.31163505894413,5.931515883001627,4.532599493153256,1.2,True,
Alone-in-the-Dark,https://imsdb.com/scripts/Alone-in-the-Dark.html,1.0,29746,10.296296296296296,4.955860120022084,3.6635616461296463,0.803392177223953,False,
Amadeus,https://imsdb.com/scripts/Amadeus.html,90.0,44760,9.898275099513487,4.300643593387068,4.204692619390966,0.8728438743918621,False,
Amelia,https://imsdb.com/scripts/Amelia.html,19.0,33116,9.437446565973213,4.036096191969023,4.68213122712422,0.9190652607580508,False,
American-Beauty,https://imsdb.com/scripts/American-Beauty.html,87.0,26512,9.790251107828656,4.971030454218589,2.8903717578961645,0.5668389955686853,False,
American-Fiction,https://imsdb.com/scripts/American-Fiction.html,93.0,24733,8.730321214260501,3.817893149504524,3.8918202981106265,0.6833745146487822,False,
American-Gangster,https://imsdb.com/scripts/American-Gangster.html,81.0,37952,12.12523961661342,5.179831520600079,4.442651256490317,0.5757188498402556,False,
American-Graffiti,https://imsdb.com/scripts/American-Graffiti.html,95.0,33675,10.79326923076923,3.559060660849731,4.290459441148391,0.9144230769230768,False,
American-History-X,https://imsdb.com/scripts/American-History-X.html,84.0,25216,8.829131652661065,3.895470676154872,3.8712010109078903,0.2906162464985994,False,
American-Hustle,https://imsdb.com/scripts/American-Hustle.html,92.0,38262,10.271677852348994,4.956345699776772,3.8501476017100575,0.7114093959731543,False,
American-Milkshake,https://imsdb.com/scripts/American-Milkshake.html,0.0,21769,8.583990536277602,4.167570061084081,3.7612001156935615,0.9203470031545742,False,
American-Pie,https://imsdb.com/scripts/American-Pie.html,62.0,27011,9.256682659355723,3.6102871380378367,3.610917912644224,0.5579163810829335,False,
American-Sniper,https://imsdb.com/scripts/American-Sniper.html,71.0,28874,10.21726822363765,3.694372591454045,3.9889840465642745,0.5314932767162066,False,
American-Splendor,https://imsdb.com/scripts/American-Splendor.html,94.0,24529,10.50492505353319,4.312368386786506,4.31748811353631,0.9507494646680942,False,
American-Werewolf-in-London,https://imsdb.com/scripts/American-Werewolf-in-London.html,89.0,20709,9.980240963855422,3.8050242190057872,3.5263605246161616,0.7450602409638554,False,
"American,-The","https://imsdb.com/scripts/American,-The.html",83.0,28419,9.755921730175077,4.495366411783255,2.9444389791664403,0.403707518022657,False,
Amour,https://imsdb.com/scripts/Amour.html,93.0,17646,9.147744945567652,3.692453526343108,2.772588722239781,0.8232244686365993,False,
An-Education,https://imsdb.com/scripts/An-Education.html,93.0,28207,8.847867001254706,3.990128177114876,3.951243718581428,0.6461731493099122,False,
